ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
3557009,HK642609,09/21/2004 12:00:00 PM,0000X S MORGAN ST,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,false,false,1212,012,2,28,07,1169781,1900176,2004,04/15/2016 08:55:02 AM,41.881585081,-87.652027614,"(41.881585081, -87.652027614)"
3557010,HK631391,09/18/2004 09:00:00 AM,044XX S FEDERAL ST,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,CHA PARKING LOT/GROUNDS,true,false,0221,002,3,38,18,1176436,1875603,2004,04/15/2016 08:55:02 AM,41.814007401,-87.628331665,"(41.814007401, -87.628331665)"
3557011,HK642611,08/18/2004 10:00:00 AM,006XX W 83RD ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,OTHER,true,false,0622,006,21,71,26,1173180,1849859,2004,04/15/2016 08:55:02 AM,41.743435624,-87.641035132,"(41.743435624, -87.641035132)"
3557012,HK636952,09/20/2004 08:42:33 PM,042XX W WILCOX ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1115,011,28,26,18,1148078,1898997,2004,04/15/2016 08:55:02 AM,41.878794911,-87.731751053,"(41.878794911, -87.731751053)"
3557013,HK641188,09/22/2004 06:00:00 PM,047XX N LUNA AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,"SCHOOL, PUBLIC, BUILDING",true,false,1623,016,45,15,04B,1138477,1931060,2004,04/15/2016 08:55:02 AM,41.966958594,-87.766225963,"(41.966958594, -87.766225963)"
3557014,HK631915,09/18/2004 04:00:00 AM,035XX W PALMER ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,true,true,1413,014,26,22,04B,1152643,1914399,2004,04/15/2016 08:55:02 AM,41.920970451,-87.714581256,"(41.920970451, -87.714581256)"
3557016,HK597383,09/02/2004 09:07:05 AM,014XX N CICERO AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,SIDEWALK,true,false,2533,025,37,25,16,1144114,1909214,2004,04/15/2016 08:55:02 AM,41.90690686,-87.746049479,"(41.90690686, -87.746049479)"
3557017,HK642596,09/23/2004 07:45:00 AM,082XX W HIGGINS RD,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,1614,016,41,10,14,1120799,1937747,2004,04/15/2016 08:55:02 AM,41.98561117,-87.831082925,"(41.98561117, -87.831082925)"
3557018,HK631393,09/18/2004 10:40:00 AM,044XX S FEDERAL ST,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,CHA APARTMENT,true,false,0221,002,3,38,18,1176436,1875603,2004,04/15/2016 08:55:02 AM,41.814007401,-87.628331665,"(41.814007401, -87.628331665)"
3557020,HK642568,09/23/2004 12:00:00 PM,030XX N ASHLAND AVE,2830,OTHER OFFENSE,OBSCENE TELEPHONE CALLS,COMMERCIAL / BUSINESS OFFICE,false,false,1931,019,32,6,17,1165118,1920416,2004,04/15/2016 08:55:02 AM,41.937225299,-87.668573934,"(41.937225299, -87.668573934)"
3557022,HK642633,09/22/2004 05:00:00 PM,090XX S YATES BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,0423,004,7,48,14,1193741,1845536,2004,04/15/2016 08:55:02 AM,41.731094316,-87.565840692,"(41.731094316, -87.565840692)"
3557023,HK641432,09/22/2004 08:30:00 PM,010XX S WESTERN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,false,false,1135,011,28,28,14,1160534,1895609,2004,04/15/2016 08:55:02 AM,41.869249232,-87.686108697,"(41.869249232, -87.686108697)"
3557024,HK642512,09/23/2004 11:00:00 AM,057XX S WASHTENAW AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,0824,008,16,63,26,1159356,1866438,2004,04/15/2016 08:55:02 AM,41.789224877,-87.691233897,"(41.789224877, -87.691233897)"
3557025,HK639351,09/22/2004 09:00:00 PM,003XX N CENTRAL PARK AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,PARK PROPERTY,false,false,1123,011,28,27,14,1152330,1901857,2004,04/15/2016 08:55:02 AM,41.886560206,-87.716062887,"(41.886560206, -87.716062887)"
3557026,HK597631,09/02/2004 11:56:25 AM,003XX N PINE AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,true,false,1523,015,28,25,26,1139440,1901727,2004,04/15/2016 08:55:02 AM,41.886448149,-87.763401971,"(41.886448149, -87.763401971)"
3557027,HK579334,08/24/2004 09:37:10 PM,027XX S DEARBORN ST,2027,NARCOTICS,POSS: CRACK,CHA HALLWAY/STAIRWELL/ELEVATOR,true,false,2113,001,3,35,18,1176315,1886573,2004,04/15/2016 08:55:02 AM,41.844112707,-87.628445336,"(41.844112707, -87.628445336)"
3557029,HK641653,09/22/2004 10:00:00 PM,013XX S LAWNDALE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1011,010,24,29,08B,1151924,1893424,2004,04/15/2016 08:55:02 AM,41.863427134,-87.717775925,"(41.863427134, -87.717775925)"
3557030,HK631808,09/19/2004 08:30:00 AM,089XX S BURLEY AVE,2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS,ALLEY,true,false,0424,004,10,46,18,1199223,1846330,2004,04/15/2016 08:55:02 AM,41.733137221,-87.545731988,"(41.733137221, -87.545731988)"
3557031,HK642552,09/23/2004 10:37:00 AM,027XX S CALIFORNIA BLVD,0810,THEFT,OVER $500,STREET,false,false,1034,010,12,30,06,1158291,1885955,2004,04/15/2016 08:55:02 AM,41.842803741,-87.694606999,"(41.842803741, -87.694606999)"
3557032,HK615422,09/10/2004 08:20:00 PM,051XX W MADISON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1533,015,28,25,18,1142328,1899543,2004,04/15/2016 08:55:02 AM,41.880401861,-87.752850634,"(41.880401861, -87.752850634)"
3557033,HK632677,09/18/2004 08:30:00 PM,005XX S CALIFORNIA AVE,3730,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,SIDEWALK,true,false,1135,011,2,27,24,1157794,1897485,2004,04/15/2016 08:55:02 AM,41.874453413,-87.696116841,"(41.874453413, -87.696116841)"
3557034,HK631809,09/19/2004 08:32:00 AM,089XX S BURLEY AVE,2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS,ALLEY,true,false,0424,004,10,46,18,1199223,1846330,2004,04/15/2016 08:55:02 AM,41.733137221,-87.545731988,"(41.733137221, -87.545731988)"
3557036,HK597799,09/02/2004 01:00:00 PM,047XX S WASHTENAW AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,0911,009,14,58,16,1159164,1873233,2004,04/15/2016 08:55:02 AM,41.807875191,-87.691751942,"(41.807875191, -87.691751942)"
3557037,HK638320,09/21/2004 01:30:00 PM,001XX W 119TH ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,0522,005,9,53,06,1177641,1826048,2004,04/15/2016 08:55:02 AM,41.677995332,-87.625407111,"(41.677995332, -87.625407111)"
3557038,HK580127,08/25/2004 10:43:01 AM,050XX W THOMAS ST,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,STREET,true,false,1531,015,37,25,26,1142359,1906849,2004,04/15/2016 08:55:02 AM,41.900449823,-87.752555225,"(41.900449823, -87.752555225)"
3557039,HK631810,09/19/2004 08:35:00 AM,089XX S BURLEY AVE,2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS,ALLEY,true,false,0424,004,10,46,18,1199223,1846330,2004,04/15/2016 08:55:02 AM,41.733137221,-87.545731988,"(41.733137221, -87.545731988)"
3557040,HK615538,09/10/2004 09:40:00 PM,059XX W DIVISION ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1511,015,29,25,18,1136370,1907378,2004,04/15/2016 08:55:02 AM,41.902010616,-87.774540793,"(41.902010616, -87.774540793)"
3557041,HK641190,09/22/2004 05:17:00 PM,012XX S CENTRAL PARK AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VACANT LOT/LAND,false,false,1021,010,24,29,08B,1152566,1894192,2004,04/15/2016 08:55:02 AM,41.865521958,-87.715398882,"(41.865521958, -87.715398882)"
3557042,HK641233,09/22/2004 06:30:00 AM,062XX N NAPER AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,1611,016,41,10,05,1132293,1941135,2004,04/15/2016 08:55:02 AM,41.994715402,-87.788728573,"(41.994715402, -87.788728573)"
3557043,HK639363,09/21/2004 08:30:00 PM,039XX W LAKE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,GROCERY FOOD STORE,false,false,1122,011,27,26,14,1149860,1901430,2004,04/15/2016 08:55:02 AM,41.885436869,-87.725144529,"(41.885436869, -87.725144529)"
3557044,HK631811,09/19/2004 09:06:18 AM,089XX S BURLEY AVE,2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS,ALLEY,true,false,0424,004,10,46,18,1199223,1846330,2004,04/15/2016 08:55:02 AM,41.733137221,-87.545731988,"(41.733137221, -87.545731988)"
3557045,HK629394,09/16/2004 06:00:00 PM,009XX W BELDEN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,false,false,1812,018,43,7,14,1169449,1915475,2004,04/15/2016 08:55:02 AM,41.9235737,-87.652801048,"(41.9235737, -87.652801048)"
3557047,HK597919,09/02/2004 02:20:00 PM,049XX S LA CROSSE AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,0814,008,23,56,16,1144858,1871537,2004,04/15/2016 08:55:02 AM,41.803502181,-87.744265932,"(41.803502181, -87.744265932)"
3557048,HK581529,08/25/2004 08:20:17 PM,034XX W FLOURNOY ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1133,011,24,27,18,1153526,1896819,2004,04/15/2016 08:55:02 AM,41.872711717,-87.711804831,"(41.872711717, -87.711804831)"
3557049,HK615216,09/10/2004 06:40:00 PM,054XX W FOSTER AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1623,016,45,11,18,1139315,1934056,2004,04/15/2016 08:55:02 AM,41.975164614,-87.763071378,"(41.975164614, -87.763071378)"
3557050,HK641430,09/22/2004 08:05:00 PM,061XX W BYRON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1633,016,38,17,08B,1134637,1925278,2004,04/15/2016 08:55:02 AM,41.951161086,-87.780482525,"(41.951161086, -87.780482525)"
3557130,HK639484,09/21/2004 03:00:00 PM,043XX W 19TH ST,0460,BATTERY,SIMPLE,STREET,false,false,1012,010,24,29,08B,1147695,1890291,2004,04/15/2016 08:55:02 AM,41.854911949,-87.733380777,"(41.854911949, -87.733380777)"
3557051,HK642658,09/22/2004 08:00:00 PM,041XX W 21ST PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1012,010,24,29,14,1149141,1889437,2004,04/15/2016 08:55:02 AM,41.852540618,-87.728095368,"(41.852540618, -87.728095368)"
3557052,HK603028,09/04/2004 10:30:00 PM,060XX S HALSTED ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0712,007,16,68,18,1172010,1864599,2004,04/15/2016 08:55:02 AM,41.783909751,-87.644889822,"(41.783909751, -87.644889822)"
3557053,HK631812,09/19/2004 08:38:00 AM,089XX S BURLEY AVE,2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS,ALLEY,true,false,0424,004,10,46,18,1199223,1846330,2004,04/15/2016 08:55:02 AM,41.733137221,-87.545731988,"(41.733137221, -87.545731988)"
3557054,HK642665,09/22/2004 10:00:00 PM,027XX W AUGUSTA BLVD,0810,THEFT,OVER $500,STREET,false,false,1311,012,26,24,06,1157790,1906534,2004,04/15/2016 08:55:02 AM,41.899284788,-87.695884725,"(41.899284788, -87.695884725)"
3557055,HK615874,09/11/2004 01:05:00 AM,006XX W DIVISION ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CHA HALLWAY/STAIRWELL/ELEVATOR,true,false,1822,018,27,8,18,1171881,1908252,2004,04/15/2016 08:55:02 AM,41.903700111,-87.644078325,"(41.903700111, -87.644078325)"
3557056,HK628894,09/16/2004 08:10:00 PM,075XX N HOYNE AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,2424,024,49,1,18,1160971,1950069,2004,04/15/2016 08:55:02 AM,42.018681605,-87.682987404,"(42.018681605, -87.682987404)"
3557057,HK641477,09/22/2004 08:35:00 PM,064XX W IRVING PARK RD,0860,THEFT,RETAIL THEFT,OTHER,false,false,1632,016,38,17,06,1132640,1925898,2004,04/15/2016 08:55:02 AM,41.952897546,-87.787809041,"(41.952897546, -87.787809041)"
3557058,HK582624,08/26/2004 12:45:56 PM,088XX S LOOMIS ST,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,STREET,true,false,2222,022,21,71,26,1168541,1846243,2004,04/15/2016 08:55:02 AM,41.733613962,-87.658136666,"(41.733613962, -87.658136666)"
3557059,HK642662,09/22/2004 02:15:00 PM,006XX S WABASH AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,"SCHOOL, PUBLIC, BUILDING",false,false,0132,001,2,32,11,1176896,1897449,2004,04/15/2016 08:55:02 AM,41.873944069,-87.62598437,"(41.873944069, -87.62598437)"
