ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
3557084,HK639311,09/21/2004 09:25:00 PM,004XX W EVERGREEN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,1821,018,27,8,08B,1173299,1909288,2004,04/15/2016 08:55:02 AM,41.906511566,-87.638838917,"(41.906511566, -87.638838917)"
3557085,HK642680,08/04/2004 04:00:00 PM,036XX S CALUMET AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,true,true,0211,002,4,35,20,1179112,1880884,2004,04/15/2016 08:55:02 AM,41.828438224,-87.618354753,"(41.828438224, -87.618354753)"
3557087,HK642678,09/23/2004 12:15:00 PM,002XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,0124,001,42,32,06,1177258,1901860,2004,04/15/2016 08:55:02 AM,41.886039903,-87.624521539,"(41.886039903, -87.624521539)"
3557088,HK631816,09/19/2004 08:55:00 AM,089XX S BURLEY AVE,2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS,ALLEY,true,false,0424,004,10,46,18,1199223,1846330,2004,04/15/2016 08:55:02 AM,41.733137221,-87.545731988,"(41.733137221, -87.545731988)"
3557089,HK610065,09/08/2004 11:20:00 AM,068XX S MORGAN ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,STREET,true,false,0724,007,17,68,18,1170822,1859567,2004,04/15/2016 08:55:02 AM,41.770127362,-87.64939219,"(41.770127362, -87.64939219)"
3557091,HK597845,09/02/2004 01:32:38 PM,019XX W LAKE ST,2027,NARCOTICS,POSS: CRACK,CHA PARKING LOT/GROUNDS,true,false,1333,012,27,28,18,1163541,1901389,2004,04/15/2016 08:55:02 AM,41.885047303,-87.674906442,"(41.885047303, -87.674906442)"
3557092,HK641816,09/23/2004 12:50:00 AM,107XX S DR MARTIN LUTHER KING JR DR,0460,BATTERY,SIMPLE,STREET,true,false,0513,005,9,49,08B,1180812,1833931,2004,04/15/2016 08:55:02 AM,41.699555312,-87.613559145,"(41.699555312, -87.613559145)"
3557093,HK631817,09/19/2004 08:57:00 AM,089XX S BURLEY AVE,2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS,ALLEY,true,false,0424,004,10,46,18,1199223,1846330,2004,04/15/2016 08:55:02 AM,41.733137221,-87.545731988,"(41.733137221, -87.545731988)"
3557094,HK636778,09/20/2004 04:00:00 PM,042XX W JACKSON BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1132,011,28,26,14,1148155,1898349,2004,04/15/2016 08:55:02 AM,41.877015243,-87.731485006,"(41.877015243, -87.731485006)"
3557097,HK582651,08/26/2004 01:16:25 PM,057XX W WAVELAND AVE,2220,LIQUOR LAW VIOLATION,ILLEGAL POSSESSION BY MINOR,ALLEY,true,false,1633,016,38,15,22,1137513,1924023,2004,04/15/2016 08:55:02 AM,41.947665846,-87.769940625,"(41.947665846, -87.769940625)"
3557098,HK631818,09/19/2004 09:00:00 AM,089XX S BURLEY AVE,2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS,ALLEY,true,false,0424,004,10,46,18,1199223,1846330,2004,04/15/2016 08:55:02 AM,41.733137221,-87.545731988,"(41.733137221, -87.545731988)"
3557099,HK642638,09/22/2004 06:00:00 PM,060XX N FRANCISCO AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,2413,024,50,2,05,1155919,1940030,2004,04/15/2016 08:55:02 AM,41.991238025,-87.701850495,"(41.991238025, -87.701850495)"
3557101,HK631819,09/19/2004 09:04:00 AM,089XX S BURLEY AVE,2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS,ALLEY,true,false,0424,004,10,46,18,1199223,1846330,2004,04/15/2016 08:55:02 AM,41.733137221,-87.545731988,"(41.733137221, -87.545731988)"
3557102,HK637256,09/20/2004 08:50:00 PM,010XX N AVERS AVE,0560,ASSAULT,SIMPLE,STREET,false,true,1112,011,27,23,08A,1150527,1906705,2004,04/15/2016 08:55:02 AM,41.899899017,-87.722557272,"(41.899899017, -87.722557272)"
3557103,HK642579,09/20/2004 03:50:00 PM,041XX N ELSTON AVE,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,1723,017,39,16,06,1150406,1927136,2004,04/15/2016 08:55:02 AM,41.955965816,-87.722467073,"(41.955965816, -87.722467073)"
3557104,HK640914,09/22/2004 04:15:00 PM,041XX W 21ST PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1012,010,24,29,08B,1149215,1889438,2004,04/15/2016 08:55:02 AM,41.852541931,-87.727823737,"(41.852541931, -87.727823737)"
3557105,HK642705,09/22/2004 05:00:00 PM,032XX N OAK PARK AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,MEDICAL/DENTAL OFFICE,false,false,1632,016,36,17,14,1130522,1920693,2004,04/15/2016 08:55:02 AM,41.938651168,-87.795715098,"(41.938651168, -87.795715098)"
3557107,HK635916,09/20/2004 01:05:00 PM,073XX S MORGAN ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,0733,007,17,68,03,1170912,1856254,2004,04/15/2016 08:55:02 AM,41.761034113,-87.649158884,"(41.761034113, -87.649158884)"
3557108,HK633530,09/19/2004 08:30:00 AM,089XX S BURLEY AVE,2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS,ALLEY,true,false,0424,004,10,46,18,1199223,1846330,2004,04/15/2016 08:55:02 AM,41.733137221,-87.545731988,"(41.733137221, -87.545731988)"
3557109,HK642692,09/22/2004 10:00:00 PM,055XX S CORNELL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2132,002,5,41,14,1188203,1868614,2004,04/15/2016 08:55:02 AM,41.794556095,-87.585392959,"(41.794556095, -87.585392959)"
3557110,HK610105,09/08/2004 12:12:00 PM,107XX S WABASH AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,STREET,true,false,0513,005,9,49,18,1178481,1833705,2004,04/15/2016 08:55:02 AM,41.698988277,-87.622101039,"(41.698988277, -87.622101039)"
3557111,HK583809,08/26/2004 08:12:51 PM,008XX N LAMON AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),ALLEY,true,false,1531,015,37,25,18,1143532,1905314,2004,04/15/2016 08:55:02 AM,41.896215737,-87.748285136,"(41.896215737, -87.748285136)"
3557112,HK633811,09/19/2004 12:30:00 PM,039XX W ROOSEVELT RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,true,false,1011,010,24,29,08B,1150354,1894422,2004,04/15/2016 08:55:02 AM,41.866196509,-87.723513299,"(41.866196509, -87.723513299)"
3557113,HK637313,09/21/2004 12:01:00 AM,024XX N HALSTED ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1933,019,43,7,08B,1170537,1916333,2004,04/15/2016 08:55:02 AM,41.92590433,-87.64877819,"(41.92590433, -87.64877819)"
3557114,HK633531,09/19/2004 08:36:00 AM,089XX S BURLEY AVE,2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS,ALLEY,true,false,0424,004,10,46,18,1199223,1846330,2004,04/15/2016 08:55:02 AM,41.733137221,-87.545731988,"(41.733137221, -87.545731988)"
3557117,HK636718,09/20/2004 05:15:00 PM,040XX W POLK ST,0460,BATTERY,SIMPLE,STREET,false,false,1132,011,24,26,08B,1149539,1896138,2004,04/15/2016 08:55:02 AM,41.870921262,-87.726460722,"(41.870921262, -87.726460722)"
3557118,HK635972,09/20/2004 12:45:00 PM,062XX S HONORE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0714,007,15,67,14,1165091,1863262,2004,04/15/2016 08:55:02 AM,41.780390069,-87.670295256,"(41.780390069, -87.670295256)"
3557119,HK642704,09/22/2004 09:00:00 AM,055XX S EVERETT AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,2132,002,5,41,06,1188986,1868613,2004,04/15/2016 08:55:02 AM,41.794534621,-87.582521795,"(41.794534621, -87.582521795)"
3557121,HK547268,08/09/2004 06:25:00 PM,029XX S STATE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,2113,001,3,35,18,1176815,1885482,2004,04/15/2016 08:55:02 AM,41.841107646,-87.62664339,"(41.841107646, -87.62664339)"
3557122,HK642721,09/13/2004 12:00:00 AM,022XX W LELAND AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,false,1911,019,47,4,11,1160343,1931165,2004,04/15/2016 08:55:02 AM,41.966821417,-87.685824332,"(41.966821417, -87.685824332)"
3557123,HK637191,09/20/2004 10:30:00 PM,006XX E GRAND AVE,0460,BATTERY,SIMPLE,OTHER,false,false,1834,018,42,8,08B,1180796,1904058,2004,04/15/2016 08:55:02 AM,41.891990384,-87.611461502,"(41.891990384, -87.611461502)"
3557124,HK550196,08/10/2004 09:35:00 PM,063XX S KOLIN AVE,2022,NARCOTICS,POSS: COCAINE,STREET,true,false,0813,008,13,65,18,1148458,1862395,2004,04/15/2016 08:55:02 AM,41.778346636,-87.731297574,"(41.778346636, -87.731297574)"
3557125,HK583966,08/26/2004 11:46:16 PM,031XX W BELMONT AVE,2022,NARCOTICS,POSS: COCAINE,CTA GARAGE / OTHER PROPERTY,true,false,1411,014,33,21,18,1154684,1921108,2004,04/15/2016 08:55:02 AM,41.939339812,-87.706902028,"(41.939339812, -87.706902028)"
3557126,HK552405,08/12/2004 05:20:00 AM,022XX S CHRISTIANA AVE,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,true,false,1024,010,22,30,16,1154376,1889011,2004,04/15/2016 08:55:02 AM,41.851268765,-87.708892578,"(41.851268765, -87.708892578)"
3557127,HK583983,08/27/2004 12:25:02 AM,015XX N DAMEN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,true,false,1424,014,1,24,18,1162780,1910414,2004,04/15/2016 08:55:02 AM,41.90982859,-87.677447594,"(41.90982859, -87.677447594)"
3557128,HK635988,09/17/2004 04:00:00 PM,056XX S WOLCOTT AVE,1340,CRIMINAL DAMAGE,TO STATE SUP PROP,"SCHOOL, PUBLIC, GROUNDS",false,false,0715,007,15,67,14,1164652,1867199,2004,04/15/2016 08:55:02 AM,41.791202978,-87.671793655,"(41.791202978, -87.671793655)"
3557131,HK636717,09/20/2004 06:30:00 PM,035XX W FLOURNOY ST,0460,BATTERY,SIMPLE,STREET,false,false,1133,011,24,27,08B,1152985,1896805,2004,04/15/2016 08:55:02 AM,41.872684032,-87.713791472,"(41.872684032, -87.713791472)"
3557132,HK642734,09/23/2004 12:00:00 AM,019XX S JEFFERSON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENTIAL YARD (FRONT/BACK),false,false,1233,012,25,31,07,1172638,1890906,2004,04/15/2016 08:55:02 AM,41.856084827,-87.6418111,"(41.856084827, -87.6418111)"
3557133,HK610222,09/08/2004 12:00:00 PM,105XX S PERRY AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,VEHICLE NON-COMMERCIAL,true,false,0512,005,34,49,26,1177469,1834947,2004,04/15/2016 08:55:02 AM,41.702419375,-87.625769131,"(41.702419375, -87.625769131)"
3557134,HK567112,08/19/2004 07:15:00 AM,047XX W ARMITAGE AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,SIDEWALK,true,false,2522,025,31,19,16,1144545,1912878,2004,04/15/2016 08:55:02 AM,41.916953154,-87.744373796,"(41.916953154, -87.744373796)"
3557135,HK595332,09/01/2004 10:45:00 AM,051XX S PRAIRIE AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,0232,002,3,40,16,1178913,1870993,2004,04/15/2016 08:55:02 AM,41.801301036,-87.61938636,"(41.801301036, -87.61938636)"
3557136,HK642336,09/18/2004 10:30:00 PM,079XX S EXCHANGE AVE,0870,THEFT,POCKET-PICKING,RESTAURANT,false,false,0422,004,7,46,06,1197208,1852988,2004,04/15/2016 08:55:02 AM,41.751457646,-87.552892516,"(41.751457646, -87.552892516)"
3557137,HK584727,08/27/2004 12:02:49 PM,025XX W 66TH ST,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,true,false,0832,008,15,66,26,1160735,1860811,2004,04/15/2016 08:55:02 AM,41.773755241,-87.68633277,"(41.773755241, -87.68633277)"
3557138,HK595268,09/01/2004 10:10:00 AM,043XX S CALUMET AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,0222,002,3,38,16,1179154,1876403,2004,04/15/2016 08:55:02 AM,41.816141045,-87.618337472,"(41.816141045, -87.618337472)"
3557139,HK642739,09/23/2004 01:20:00 PM,011XX S HAMILTON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER,false,false,1224,012,2,28,26,1162121,1895023,2004,04/15/2016 08:55:02 AM,41.867608211,-87.680298775,"(41.867608211, -87.680298775)"
3557141,HK642752,09/22/2004 09:30:00 PM,075XX S PRAIRIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,0623,006,6,69,08B,1179342,1855091,2004,04/15/2016 08:55:02 AM,41.757654572,-87.618298002,"(41.757654572, -87.618298002)"
3557142,HK595148,09/01/2004 08:45:00 AM,018XX W 63RD ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,0714,007,15,67,16,1165005,1862887,2004,04/15/2016 08:55:02 AM,41.77936284,-87.670621143,"(41.77936284, -87.670621143)"
3557143,HK642751,09/23/2004 04:00:00 AM,029XX W PALMER ST,0810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),false,false,1414,014,35,22,06,1156087,1914610,2004,04/15/2016 08:55:02 AM,41.921480565,-87.701921468,"(41.921480565, -87.701921468)"
3557144,HK635995,09/19/2004 10:00:00 PM,012XX W 71ST ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,0734,007,17,67,05,1169338,1857703,2004,04/15/2016 08:55:02 AM,41.765044564,-87.654885807,"(41.765044564, -87.654885807)"
3557148,HK634236,09/19/2004 04:37:00 PM,043XX W GLADYS AVE,0460,BATTERY,SIMPLE,STREET,false,false,1131,011,24,26,08B,1147471,1898001,2004,04/15/2016 08:55:02 AM,41.876073425,-87.734005399,"(41.876073425, -87.734005399)"
3557149,HK636145,09/18/2004 09:30:00 PM,018XX S KARLOV AVE,0560,ASSAULT,SIMPLE,STREET,false,false,1012,010,24,29,08A,1149354,1890730,2004,04/15/2016 08:55:02 AM,41.856084649,-87.727280091,"(41.856084649, -87.727280091)"
3557150,HK584540,08/27/2004 09:15:00 AM,048XX W ARTHINGTON ST,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,true,false,1533,015,24,25,16,1144391,1895531,2004,04/15/2016 08:55:02 AM,41.869353897,-87.74537633,"(41.869353897, -87.74537633)"
3557151,HK638494,09/19/2004 04:30:00 PM,017XX N ORLEANS ST,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",false,false,1814,018,43,7,08B,1173659,1911805,2004,04/15/2016 08:55:02 AM,41.913410331,-87.637441494,"(41.913410331, -87.637441494)"
3557152,HK642757,09/23/2004 12:00:00 PM,0000X W MADISON ST,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,false,false,0123,001,42,32,06,1176233,1900384,2004,04/15/2016 08:55:02 AM,41.882012848,-87.62833005,"(41.882012848, -87.62833005)"
3557153,HK634808,09/19/2004 09:00:00 PM,037XX W ARTHINGTON ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,false,false,1133,011,24,29,04B,1151745,1895783,2004,04/15/2016 08:55:02 AM,41.869904019,-87.71837099,"(41.869904019, -87.71837099)"
3557154,HK636012,09/18/2004 09:30:00 AM,057XX S BISHOP ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0713,007,16,67,14,1167647,1866622,2004,04/15/2016 08:55:02 AM,41.789555855,-87.660828171,"(41.789555855, -87.660828171)"
3557155,HK631576,09/18/2004 09:40:00 AM,040XX W ADAMS ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,1115,011,28,26,08B,1149452,1898704,2004,04/15/2016 08:55:02 AM,41.877964347,-87.726713552,"(41.877964347, -87.726713552)"
3557156,HK640391,09/22/2004 12:15:00 PM,081XX S MANISTEE AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,true,false,0422,004,7,46,26,1195915,1851627,2004,04/15/2016 08:55:02 AM,41.747755044,-87.557675597,"(41.747755044, -87.557675597)"
3557157,HK640003,09/22/2004 09:10:00 AM,030XX S KEDZIE AVE,0560,ASSAULT,SIMPLE,OTHER,false,false,1033,010,12,30,08A,1155512,1884264,2004,04/15/2016 08:55:02 AM,41.838219696,-87.704850674,"(41.838219696, -87.704850674)"
3557158,HK640030,09/22/2004 09:20:00 AM,014XX S MILLARD AVE,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,1011,010,24,29,08A,1152275,1892800,2004,04/15/2016 08:55:02 AM,41.861707893,-87.716503879,"(41.861707893, -87.716503879)"
3557160,HK636137,09/20/2004 11:00:00 AM,056XX S LOOMIS BLVD,2851,PUBLIC PEACE VIOLATION,ARSON THREAT,APARTMENT,false,false,0713,007,16,67,26,1167960,1867287,2004,04/15/2016 08:55:02 AM,41.79137397,-87.65966139,"(41.79137397, -87.65966139)"
3557161,HK634471,09/19/2004 06:51:32 PM,006XX S PULASKI RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,true,true,1132,011,24,26,08B,1149822,1896850,2004,04/15/2016 08:55:02 AM,41.872869577,-87.725403207,"(41.872869577, -87.725403207)"
3557163,HK637975,09/21/2004 11:25:09 AM,005XX N LAKE SHORE DR,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1834,018,42,8,08B,1179988,1904107,2004,04/15/2016 08:55:02 AM,41.892143457,-87.614427382,"(41.892143457, -87.614427382)"
3557164,HK642756,09/23/2004 11:00:00 AM,008XX N STATE ST,0890,THEFT,FROM BUILDING,GROCERY FOOD STORE,false,false,1833,018,42,8,06,1176209,1906269,2004,04/15/2016 08:55:02 AM,41.89816214,-87.628240605,"(41.89816214, -87.628240605)"
3557167,HK638151,09/20/2004 04:00:00 PM,075XX S COLFAX AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0421,004,7,43,05,1194833,1855552,2004,04/15/2016 08:55:02 AM,41.758552245,-87.561511273,"(41.758552245, -87.561511273)"
3557169,HK642780,09/22/2004 01:00:00 AM,088XX S BURLEY AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,0424,004,10,46,26,1199207,1846906,2004,04/15/2016 08:55:02 AM,41.73471821,-87.545771294,"(41.73471821, -87.545771294)"
3557170,HK637984,09/21/2004 11:45:00 AM,004XX N STATE ST,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,false,false,1831,018,42,8,08A,1176300,1903208,2004,04/15/2016 08:55:02 AM,41.889760548,-87.627998797,"(41.889760548, -87.627998797)"
3557171,HK636156,09/20/2004 02:50:00 PM,007XX W 72ND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0732,007,17,68,08B,1172423,1857127,2004,04/15/2016 08:55:02 AM,41.763396621,-87.643595327,"(41.763396621, -87.643595327)"
3557173,HK642179,09/22/2004 04:30:00 PM,034XX N BELL AVE,0890,THEFT,FROM BUILDING,CONSTRUCTION SITE,false,false,1913,019,32,5,06,1160760,1922718,2004,04/15/2016 08:55:02 AM,41.94363374,-87.684526222,"(41.94363374, -87.684526222)"
3557175,HK641869,09/23/2004 01:47:00 AM,069XX S CLYDE AVE,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,SIDEWALK,true,true,0331,003,5,43,26,1191408,1859410,2004,04/15/2016 08:55:02 AM,41.769222543,-87.573938576,"(41.769222543, -87.573938576)"
3557176,HK642230,09/22/2004 06:30:00 PM,101XX S AVENUE L,1570,SEX OFFENSE,PUBLIC INDECENCY,ALLEY,false,false,0432,004,10,52,17,1201819,1838463,2004,04/15/2016 08:55:02 AM,41.711483998,-87.536488614,"(41.711483998, -87.536488614)"
3557177,HK607066,09/06/2004 10:49:00 PM,037XX W FLOURNOY ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,1133,011,24,27,15,1151704,1896776,2004,04/15/2016 08:55:02 AM,41.872629728,-87.718495402,"(41.872629728, -87.718495402)"
3557178,HK636189,09/20/2004 02:50:00 PM,069XX S HERMITAGE AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,false,0735,007,17,67,11,1165877,1858725,2004,04/15/2016 08:55:02 AM,41.76792328,-87.667542413,"(41.76792328, -87.667542413)"
3557180,HK635131,09/20/2004 05:10:00 AM,001XX W NORTH AVE,0460,BATTERY,SIMPLE,RESTAURANT,true,false,1821,018,42,8,08B,1175179,1911001,2004,04/15/2016 08:55:02 AM,41.911170142,-87.631881548,"(41.911170142, -87.631881548)"
3557181,HK642809,09/21/2004 04:00:00 PM,060XX N NAPLES AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1611,016,41,10,14,1132475,1940106,2004,04/15/2016 08:55:02 AM,41.991888559,-87.788083181,"(41.991888559, -87.788083181)"
3557182,HK641896,09/23/2004 02:47:04 AM,002XX W 113TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0522,005,34,49,14,1176529,1830005,2004,04/15/2016 08:55:02 AM,41.688878944,-87.629359046,"(41.688878944, -87.629359046)"
3557183,HK636215,09/20/2004 02:00:00 PM,005XX W 63RD ST,2820,OTHER OFFENSE,TELEPHONE THREAT,VEHICLE NON-COMMERCIAL,false,false,0711,007,20,68,26,1173625,1863130,2004,04/15/2016 08:55:02 AM,41.779843016,-87.639012147,"(41.779843016, -87.639012147)"
3557185,HK640310,09/22/2004 07:10:00 AM,115XX S YALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0522,005,34,53,14,1176679,1828355,2004,04/15/2016 08:55:02 AM,41.68434773,-87.628859301,"(41.68434773, -87.628859301)"
3557187,HK642795,09/23/2004 12:00:00 AM,045XX S KILPATRICK AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0815,008,23,56,14,1145785,1874221,2004,04/15/2016 08:55:02 AM,41.810850005,-87.740798252,"(41.810850005, -87.740798252)"
3557188,HK642058,09/19/2004 12:00:00 AM,081XX S SOUTH SHORE DR,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0422,004,7,46,26,1198566,1851564,2004,04/15/2016 08:55:02 AM,41.747516179,-87.547963847,"(41.747516179, -87.547963847)"
3557189,HK641355,09/22/2004 07:48:49 PM,111XX S MICHIGAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0531,005,9,49,14,1178789,1831299,2004,04/15/2016 08:55:02 AM,41.692378887,-87.621046145,"(41.692378887, -87.621046145)"
3557190,HK638583,09/21/2004 03:10:00 PM,011XX N DEARBORN ST,0560,ASSAULT,SIMPLE,APARTMENT,true,false,1824,018,42,8,08A,1175736,1907732,2004,04/15/2016 08:55:02 AM,41.902187338,-87.629933817,"(41.902187338, -87.629933817)"
3557191,HK641795,09/23/2004 12:25:00 AM,064XX S EBERHART AVE,0460,BATTERY,SIMPLE,SIDEWALK,true,false,0312,003,20,42,08B,1180684,1862500,2004,04/15/2016 08:55:02 AM,41.777954914,-87.613152431,"(41.777954914, -87.613152431)"
3557192,HK642534,09/08/2004 02:00:00 PM,094XX S EWING AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,0432,004,10,52,08A,1201388,1843241,2004,04/15/2016 08:55:02 AM,41.72460614,-87.537905337,"(41.72460614, -87.537905337)"
3557195,HK636263,09/20/2004 02:00:00 PM,062XX S CARPENTER ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0712,007,16,68,14,1170382,1863503,2004,04/15/2016 08:55:02 AM,41.780937812,-87.650890552,"(41.780937812, -87.650890552)"
3557196,HK639935,09/22/2004 05:00:00 AM,032XX W FULTON BLVD,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1123,011,28,27,05,1154707,1901817,2004,04/15/2016 08:55:02 AM,41.88640319,-87.707334973,"(41.88640319, -87.707334973)"
3557197,HK640233,09/22/2004 10:30:00 AM,003XX W 100TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0511,005,9,49,14,1175754,1838616,2004,04/15/2016 08:55:02 AM,41.712526128,-87.631939544,"(41.712526128, -87.631939544)"
3557198,HK639438,09/21/2004 09:40:00 PM,001XX E OHIO ST,0460,BATTERY,SIMPLE,HOTEL/MOTEL,true,false,1834,018,42,8,08B,1177530,1904238,2004,04/15/2016 08:55:02 AM,41.892559086,-87.623450463,"(41.892559086, -87.623450463)"
3557199,HK637939,09/21/2004 09:30:00 AM,042XX W IOWA ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,1111,011,37,23,03,1148134,1905669,2004,04/15/2016 08:55:02 AM,41.897102538,-87.731373574,"(41.897102538, -87.731373574)"
3557201,HK642827,09/20/2004 10:00:00 AM,023XX N MILWAUKEE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1414,014,35,22,06,1157283,1915174,2004,04/15/2016 08:55:02 AM,41.923003976,-87.697511683,"(41.923003976, -87.697511683)"
3557203,HK640073,09/22/2004 09:53:45 AM,106XX S LA SALLE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0512,005,34,49,14,1177156,1834507,2004,04/15/2016 08:55:02 AM,41.701219003,-87.626928463,"(41.701219003, -87.626928463)"
3557204,HK640453,09/20/2004 06:00:00 PM,120XX S INDIANA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0532,005,9,53,08B,1179747,1824989,2004,04/15/2016 08:55:02 AM,41.675041537,-87.617730666,"(41.675041537, -87.617730666)"
3557206,HK642841,09/22/2004 09:00:00 PM,056XX S MICHIGAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0233,002,20,40,14,1178117,1867739,2004,04/15/2016 08:55:02 AM,41.79238986,-87.62240425,"(41.79238986, -87.62240425)"
3557209,HK639262,09/21/2004 08:30:00 PM,040XX W WILCOX ST,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,false,false,1115,011,28,26,03,1149584,1899032,2004,04/15/2016 08:55:02 AM,41.878861855,-87.726220357,"(41.878861855, -87.726220357)"
3557211,HK639502,09/21/2004 11:15:00 PM,005XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,STREET,true,false,1834,018,42,8,08B,1177337,1904081,2004,04/15/2016 08:55:02 AM,41.89213265,-87.624164031,"(41.89213265, -87.624164031)"
3557213,HK635936,09/20/2004 01:00:00 PM,126XX S STATE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,false,true,0523,005,9,53,08B,1178581,1820983,2004,04/15/2016 08:55:02 AM,41.664074946,-87.622119418,"(41.664074946, -87.622119418)"
